date,company,ticker,action_type,ratio,action_details
2025-07-11,Orogen Royalties Inc,OGN,Merger,,Orogen Royalties Inc. (OGN) performed a merger. Details of the event are still to be determined.
2025-07-10,mF International Ltd,MFI,Consolidation,1 for 8,mF International Ltd (MFI) performed a 1 for 8 consolidation. Holders will now hold 1 share of mF International Ltd (MFI) for every 8 shares previously held.
2025-07-10,IDW Media Holdings Inc,IDWM,Consolidation,1 for 100,IDW Media Holdings Inc (Class B) (IDWM) performed a 1 for 100 consolidation. Holders will now hold 1 share of IDW Media Holdings Inc (Class B) (IDWM) for every 100 shares previously held.
2025-07-10,Distoken Acquisition Corp,DIST,Acquisition,,Distoken Acquisition Corp (DIST) performed a reorganization. Holders will receive 1 share of Youlife Group Inc. (YOUL) per 1 old shares held.
2025-07-10,Atco Mining Inc,ATCM,Consolidation,1 for 10,Atco Mining Inc (ATCM) performed a 1 for 10 consolidation. Holders will now hold 1 share of SuperQ Quantum Computing Inc. (QBTQ) for every 10shares previously held.
2025-07-10,PowerStone Metals Corp,PS,Consolidation,1 for 2.496626532,PowerStone Metals Corp (PS) performed a 1 for 2.496626532 consolidation and name change. Holders will now hold 1 share of Libra Energy Materials Inc. (LIBR) for every 2.496626532 shares previously held.
2025-07-09,GraniteShares ETF Trust 2X Long Pltr Daily ETF,PTIR,Stock Split,15 for 1,GraniteShares ETF Trust 2X Long Pltr Daily ETF (PTIR) performed a 15 for 1 stock split. Holders will now hold 15 shares of GraniteShares ETF Trust 2X Long Pltr Daily ETF (PTIR) per 1 share previously held.
2025-07-09,Akoya Biosciences Inc,AKYA,Merger,,Akoya Biosciences Inc (AKYA) performed a merger. Holders will receive 0.1461 shares of Quanterix Corp (QTRX) plus 0.38 USD cash per share held.
2025-07-09,Solo Brands Inc,DTCB,Consolidation,1 for 40,Solo Brands Inc (Class A) (DTCB) performed a 1 for 40 consolidation. Holders will now hold 1 share of Solo Brands Inc (Class A) (DTCB) for every 40 shares previously held.
2025-07-09,The Good Flour Corp,GFCO,Other,1 for 1,The Good Flour Corp. (GFCO) performed a 1 for 1 name and CUSIP change to Intellistake Technologies Corp. (ISTK).
2025-07-09,Ceres Global Ag Corp,CRP,Merger,,Ceres Global Ag Corp (CRP) performed a merger. Holders will receive 4.50 USD per share held.
2025-07-08,Banzai International Inc,BNZI,Consolidation,1 for 10,Banzai International Inc (Class A) (BNZI) performed a 1 for 10 consolidation. Holders will now hold 1 share of Banzai International Inc (Class A) (BNZI) for every 10 shares previously held.
2025-07-08,Therma Bright Inc,THRM,Consolidation,1 for 8,Therma Bright Inc (THRM) performed a 1 for 8 consolidation. Holders will now hold 1 share of Therma Bright Inc (THRM) for every 8 shares previously held.
2025-07-08,Argo Living Soils Corp,ARGO,Other,1 for 1,Argo Living Soils Corp (ARGO) performed a 1 for 1 name and CUSIP change to Argo Graphene Solutions Corp. (ARGO).
2025-07-08,Franklin Templeton ETF Trust - FTSE Hong Kong,FLHK,Liquidation,,Franklin Templeton ETF Trust - FTSE Hong Kong (FLHK) performed a liquidation. Holders will receive 19.23502954 USD cash per share held.
2025-07-08,BMO ARK Genomic Revolution Fund,ARKG,Redemption,,BMO ARK Genomic Revolution Fund (ARKG) performed a mandatory redemption. Details of the event are still to be announced.
2025-07-08,BMO ARK Innovation Fund,ARKK,Redemption,,BMO ARK Innovation Fund (ARKK) performed a mandatory redemption. Details of the event are still to be announced.
2025-07-08,BMO ARK Next Generation Internet Fund,ARKW,Redemption,,BMO ARK Next Generation Internet Fund (ARKW) a performed mandatory redemption. Details of the event are still to be announced.
2025-07-07,Cyclacel Pharmaceuticals Incorporated,CYCC,Consolidation,1 for 15,Cyclacel Pharmaceuticals Incorporated (CYCC) performed a 1 for 15 consolidation. Holders will now hold 1 share of Cyclacel Pharmaceuticals Incorporated (CYCC) for every 15 shares previously held.
2025-07-07,BioVie Inc,BIVI,Consolidation,1 for 10,BioVie Inc. (BIVI) performed a 1 for 10 consolidation. Holders will now hold 1 share of BioVie Inc. (BIVI) for every 10 shares previously held.
2025-07-07,Revelation Biosciences Inc,REVB,Consolidation,1 for 3,Revelation Biosciences Inc (REVB) performed a 1 for 3 consolidation. Holders will now hold 1 share of Revelation Biosciences Inc (REVB) for every 3 shares previously held.
2025-07-07,La Rosa Holdings Corp,LRHC,Consolidation,1 for 80,La Rosa Holdings Corp. (LRHC) performed a 1 for 80 consolidation. Holders will now hold 1 share of La Rosa Holdings Corp. (LRHC) for every 80 shares previously held.
2025-07-07,Western Metallica Resources Corp,WMS,Consolidation,1 for 10,Western Metallica Resources Corp (WMS) performed a 1 for 10 consolidation. Holders will now hold 1 share of Western Metallica Resources Corp (WMS) for every 10 shares previously held.
2025-07-07,Fly E Group Inc,FLYE,Consolidation,1 for 5,Fly E Group Inc. (FLYE) performed a 1 for 5 consolidation. Holders will now hold 1 share of Fly E Group Inc. (FLYE) for every 5 shares previously held.
2025-07-07,Lulus Fashion Lounge Holdings Inc,LVLU,Consolidation,1 for 15,Lulus Fashion Lounge Holdings Inc (LVLU) performed a 1 for 15 consolidation. Holders will now hold 1 share of Lulus Fashion Lounge Holdings Inc (LVLU) for every 15 shares previously held.
2025-07-07,Almonty Industries,AII,Consolidation,1 for 1.5,Almonty Industries (AII) performed a 1 for 1.5 consolidation. Holders will now hold 1 share of Almonty Industries (AII) for every 1.5 shares previously held.
2025-07-07,Nuwellis Inc,NUWE,Consolidation,1 for 42,Nuwellis Inc (NUWE) performed a 1 for 42 consolidation. Holders will now hold 1 share of Nuwellis Inc (NUWE) for every 42 shares previously held.
2025-07-07,Silver Valley Metals Corp,SILV,Consolidation,1 for 3,Silver Valley Metals Corp (SILV) performed a 1 for 3 consolidation. Holders will now hold 1 share of Silver Valley Metals Corp (SILV) for every 3 shares previously held.
2025-07-07,Axis Auto Finance Inc,AXIS,Consolidation,1 for 38,"Axis Auto Finance Inc (AXIS) has pushed out all positions through the completion of the going-private transaction by means of 1 for 38,000,000 consolidation pursuant to the terms of a privatization agreement."
2025-07-04,Impact Acquisitions Corp,IMPC.P,Other,1 for 1,Impact Acquisitions Corp (IMPC.P) performed a 1 for 1 name and CUSIP change to Fort Technology Inc. (FORT).
2025-07-04,SPC Nickel Corp,SPC,Rights Distribution,,"SPC Nickel Corp. (SPC) performed a rights distribution. Holders will receive 0.90648295 right per share held as of record date June 24, 2025."
2025-07-03,City View Green Holdings Inc,CVGR,Consolidation,1 for 10,City View Green Holdings Inc (CVGR) performed a 1 for 10 consolidation. Holders will now hold 1 share of City View Green Holdings Inc (CVGR) for every 10 shares previously held.
2025-07-03,Damon Inc,DMNIF,Consolidation,1 for 125,Damon Inc. (DMNIF) performed a 1 for 125 consolidation. Holders will now hold 1 share of Damon Inc. (DMNIF) for every 125 shares previously held.
2025-07-03,Pegmatite One Lithium and Gold Corp,PGA,Consolidation,1 for 10,Pegmatite One Lithium and Gold Corp (PGA) performed a 1 for 10 consolidation. Holders will now hold 1 share of Pegmatite One Lithium and Gold Corp (PGA) for every 10 shares previously held.
2025-07-03,Wallbox N.V,WBX,Consolidation,1 for 20,Wallbox N.V (Class A) (WBX) performed a 1 for 20 consolidation. Holders will now hold 1 share of Wallbox N.V (Class A) (WBX) for every 20 shares previously held.
2025-07-03,Scisparc Limited,SPRC,Consolidation,1 for 21,Scisparc Limited (SPRC) performed a 1 for 21 consolidation. Holders will now hold 1 share of Scisparc Limited (SPRC) for every 21 shares previously held.
2025-07-03,Rio Silver Inc,RYO,Consolidation,1 for 5,Rio Silver Inc. (RYO) performed a 1 for 5 consolidation. Holders will now hold 1 share of Rio Silver Inc. (RTO) for every 5 shares previously held.
2025-07-03,Enstar Group Limited,ESGR,Merger,,Enstar Group Limited (ESGR) performed a merger. Holders will receive 338.0 USD per share held.
2025-07-02,LifeSpeak Inc,LSPK,Merger,,LifeSpeak Inc (LSPK) performed a merger. Holders will receive 0.32 CAD per share held.
2025-07-02,Yerbae Brands Corp,YERB.U,Merger,,Yerbae Brands Corp (YERB.U) performed a merger. Details of the event are still to be determined.
2025-07-02,Springworks Therapeutics Inc,SWTX,Merger,,Springworks Therapeutics Inc. (SWTX) performed a merger. Holders will receive 47 USD per share held.
2025-07-02,Southern States Bancshares Inc,SSBK,Merger,,Southern States Bancshares Inc (SSBK) performed a merger. Details of the event are still to be determined.
2025-07-02,Redfin Corp,RDFN,Merger,,Redfin Corp (RDFN) performed a merger. Holders will receive 0.7926 share of Rocket Companies Inc (RKT) per share held.
2025-07-02,Shyft Group Inc,SHYF,Merger,,Shyft Group Inc. (SHYF) performed a merger. Holders will receive 1.04016643 shares of Aebi Schmidt Holding AG (AEBI.V) per share held.
2025-07-02,Chromocell Therapeutics Corp,CHRO,Consolidation,1 for 10,Chromocell Therapeutics Corp (CHRO) performed a name change and a 1 for 10 consolidation. Holders will now hold 1 share of Pelthos Therapeutics Inc. (PTHS) for every 10 shares previously held.
2025-07-02,Enterprise Bancorp Inc,EBTC,Merger,,Enterprise Bancorp Inc. (EBTC) performed a merger. Details of the event are still to be determined.
2025-07-02,Inozyme Pharma Inc,INZY,Merger,,Inozyme Pharma Inc (INZY) performed a merger. Holders will receive 4.00 USD per share held.
2025-07-02,Everi Holdings Inc,EVRI,Merger,,Everi Holdings Inc (EVRI) performed a merger. Holders will receive 14.25 USD per share held.
2025-07-02,Angus Gold Inc,GUS,Merger,,Angus Gold Inc. (GUS) performed a merger. Holders will receive 0.00958466 shares of Wesdome Gold Mines Ltd. (WDO) plus 0.62 CAD cash per share held.
2025-07-02,"Servotronics, Inc",SVT,Merger,,"Servotronics, Inc. (SVT) performed a merger. Details of the event are still to be determined."
2025-07-02,ProKidney Corp,PROK,Other,,ProKidney Corp (Class A) (PROK) performed reclassification. Holders will receive 1 new share of ProKidney Corp (PROK) per share held.
2025-07-02,Juniper Networks Inc,JNPR,Merger,,Juniper Networks Inc (JNPR) performed a merger. Holders will receive 40 USD per share held.
2025-07-01,Helius Medical Technologies Inc,HSDT,Consolidation,1 for 50,Helius Medical Technologies Inc. (HSDT) performed a 1 for 50 consolidation. Holders will now hold 1 share of Helius Medical Technologies Inc. (HSDT) for every 50 shares previously held.
2025-07-01,Aena SME S.A.,ANYYY,Stock Split,2 for 1,Aena SME S.A. (ANYYY) performed a 2 for 1 stock split. Holders will now hold 2 shares of Aena SME S.A. (ANYYY) per 1 share previously held.
2025-07-01,APi Group Corporation,APG,Stock Split,3 for 2,APi Group Corporation (APG) performed a 3 for 2 stock split. Holders will now hold 3 shares of APi Group Corporation (APG) per 2 share previously held.
2025-07-01,James Hardie Industries ADR Representing,JHX,Reorganization,,James Hardie Industries ADR Representing (JHX) performed a reorganization. Holders will receive 1 new share of James Hardie Industries PLC (JHX) per 1 old share held.
2025-07-01,JVSPAC Acquisition Corp,JVSA,Acquisition,,JVSPAC Acquisition Corp. (JVSA) performed a reorganization. Holders will receive 1 share of Hotel101 Global Holdings Corp. (HBNB) per 1 old share held.
2025-07-01,JVSPAC Acquisition Corp - Exp. 031124,JVSAU,Acquisition,,JVSPAC Acquisition Corp - Exp. 031124 (JVSAU) performed a reorganization. Holders will receive 1.25 shares of Hotel101 Global Holdings Corp. (HBNB) per 1 old share held.
2025-07-01,AZEK Company Inc,AZEK,Merger,,AZEK Company Inc (AZEK) performed a merger. Holders will receive 1.034 shares of James Hardie Industries PLC (JHX) plus 26.45 USD cash per 1 old share held.
2025-07-01,Kineta Inc,KANT,Merger,,Kineta Inc. (KANT) performed a merger. Holders will receive 0.185298 shares of TuHURA Biosciences Inc. (HURA) plus 1 escrow share 1 old share held.
2025-07-01,"SMART Global Holdings, Inc",SGH,Merger,,"SMART Global Holdings, Inc. (SGH) performed a merger. Holders will receive 1 share of Penguin Solutions Inc.(PENG) per 1 old share held."
2025-07-01,Gol Linhas Aereas Inteligentes S.A.,GOLLQ,Redemption,,Gol Linhas Aereas Inteligentes S.A. (GOLLQ) performed a mandatory redemption. Holders will receive 0.407621 USD cash per share held.
2025-07-01,Hartford Schroders Commodity Strategy ETF,HCOM,Liquidation,,Hartford Schroders Commodity Strategy ETF (HCOM) performed a liquidation. Holders will receive 14.535306 USD cash per share held.
2025-07-01,Hartford Multifactor Diversified International ETF,RODE,Liquidation,,Hartford Multifactor Diversified International ETF (RODE) performed a liquidation. Holders will receive 27.698692 USD cash per share held.
2025-07-01,PlayAGS Inc,AGS,Merger,,PlayAGS Inc. (AGS) performed a merger. Holders will receive 12.50 USD cash per share held.
2025-06-30,Tesoro Minerals Corp,TES,Consolidation,1 for 4,Tesoro Minerals Corp (TES) performed a 1 for 4 consolidation. Holders will now hold 1 share of Tesoro Minerals Corp (TES) for every 4 shares previously held.
2025-06-30,Fidelity Minerals Corp,FMN,Consolidation,1 for 5,Fidelity Minerals Corp (FMN) performed a 1 for 5 consolidation. Holders will now hold 1 share of Fidelity Minerals Corp (FMN) for every 5 shares previously held.
2025-06-30,Ainos Inc,AIMD,Consolidation,1 for 5,Ainos Inc. (AIMD) performed a 1 for 5 consolidation. Holders will now hold 1 share of Ainos Inc. (AIMD) for every 5 shares previously held.
2025-06-30,Spearmint Resources Inc,SPMT,Consolidation,1 for 10,Spearmint Resources Inc (SPMT) performed a 1 for 10 consolidation and a name change. Holders will now hold 1 share of Adelayde Exploration Inc. (ADDY)for every 10 shares previously held.
2025-06-30,KWESST Micro Systems Inc,KWE,Other,1 for 1,KWESST Micro Systems Inc. (KWE) performed a 1 for 1 name and CUSIP change to DEFSEC Technologies Inc. (DFSC).
2025-06-30,Smithe Resources Corp,SMTH.P,Other,1 for 1,Smithe Resources Corp (SMTH.P) performed a 1 for 1 name and CUSIP change to TooGood Gold Corp. (TGC).
2025-06-30,Fortive Corporation.,FTV,Spinoff,,"Fortive Corporation. (FTV) performed a spinoff. Holders will receive 0.3333333 shares of Ralliant Corp. (RAL) per 1 FTV share held as of record date of June 30, 2025."
2025-06-30,Pembina Pipeline Cumulative Redeemable Series 19 Pref Shs Cl,,Redemption,,Pembina Pipeline Cumulative Redeemable Series 19 Pref Shs Cl (PPL.PR.S) performed mandatory redemption. Holders will receive 25 CAD cash per share held.
2025-06-30,Hanover Bancorp Inc,HNVR,Reorganization,,Hanover Bancorp Inc. (HNVR) performed a reorganization. Holders will receive 1 share of Hanover Bancorp Inc. (HNVR) per 1 old shares held.
2025-06-30,PTL Limited,PTLE,Reorganization,,PTL Limited (PTLE) performed a reorganization. Holders will receive 1 share of PTL Limited (PTLE) per 1 old shares held.
2025-06-27,Greenlane Holdings Inc,GNLN,Consolidation,1 for 750,Greenlane Holdings Inc. (GNLN) performed a 1 for 750 consolidation. Holders will now hold 1 share of Greenlane Holdings Inc. (GNLN) for every 750 shares previously held.
2025-06-27,Interactive Strength Inc,TRNR,Consolidation,1 for 10,Interactive Strength Inc. (TRNR) performed a 1 for 10 consolidation. Holders will now hold 1 share of Interactive Strength Inc. (TRNR) for every 10 shares previously held.
2025-06-27,Indaptus Therapeutics Inc,INDP,Consolidation,1 for 28,Indaptus Therapeutics Inc (INDP) performed a 1 for 28 consolidation. Holders will now hold 1 share of Indaptus Therapeutics Inc (INDP) for every 28 shares previously held.
2025-06-26,Volt Lithium Corp,VLT,Other,1 for 1,Volt Lithium Corp (VLT) performed a 1 for 1 name and CUSIP change to LibertyStream Infrastructure Partners Inc. (LIB).
2025-06-26,Brera Holdings Plc,BREA,Consolidation,1 for 10,Brera Holdings Plc (BREA) performed a 1 for 10 consolidation. Holders will now hold 1 share of Brera Holdings Plc (BREA) for every 10 shares previously held.
2025-06-26,AYRO Inc,AYRO,Consolidation,1 for 16,AYRO Inc (AYRO) performed a 1 for 16 consolidation. Holders will now hold 1 share of AYRO Inc (AYRO) for every 16 shares previously held.
2025-06-26,Lumina Gold Corp,LUM,Merger,,Lumina Gold Corp (LUM) performed a merger. Holders will receive 1.27 CAD cash per share held.
2025-06-26,Landsea Homes Corporation,LSEA,Merger,,Landsea Homes Corporation (Class A) (LSEA) performed a merger. Holders will receive 11.3 USD cash per share held.
2025-06-26,Regulus Therapeutics Inc,RGLS,Merger,,Regulus Therapeutics Inc (RGLS) performed merger. Holders will receive 7 USD cash and 1 CVR per share held.
2025-06-25,Torrent Gold Inc,TGLD,Consolidation,1 for 10,Torrent Gold Inc (TGLD) performed a 1 for 10 consolidation. Holders will now hold 1 share of Torrent Gold Inc (TGLD) for every 10 shares previously held.
2025-06-25,New Wave Holdings Corp,NWAI,Other,1 for 1,New Wave Holdings Corp (NWAI) performed a 1 for 1 name and CUSIP change to Humanoid Global Holdings Corp. (ROBO).
2025-06-25,Industria De Diseno Textil SA,IDEXY,Stock Split,2 for 1,Industria De Diseno Textil SA (IDEXY) performed a 2 for 1 stock split. Holders will now hold 2 shares of Industria De Diseno Textil SA (IDEXY) per 1 share previously held.
2025-06-25,STAK Inc,STAK,Other,,STAK Inc. (STAK) performed reclassification. Holders will receive 1 new STAK Inc. (STAK).
2025-06-25,WW International Inc,WGHTQ,Merger,,WW International Inc (WGHTQ) performed a merger. Holders will receive 0.01073733 new shares of WW International Inc (WGHTQ) per share previously held.
2025-06-25,ETF Opportunities Trust - Index Dynamic Innovation ETF,DYNI,Liquidation,,ETF Opportunities Trust - Index Dynamic Innovation ETF (DYNI) performed a liquidation. Holders will receive 26.240399 USD cash per share held.
2025-06-24,Rakovina Therapeutics Inc,RKV,Consolidation,1 for 10,Rakovina Therapeutics Inc (RKV) performed a 1 for 10 consolidation. Holders will now hold 1 share of Rakovina Therapeutics Inc (RKV) for every 10 shares previously held.
2025-06-24,Jiade Limited,JDZG,Consolidation,1 for 8,Jiade Limited (JDZG) performed a 1 for 8 consolidation. Holders will now hold 1 share of Jiade Limited (JDZG) for every 8 shares previously held.
2025-06-24,Cellectar Biosciences Inc,CLRB,Consolidation,1 for 30,Cellectar Biosciences Inc. (CLRB) performed a 1 for 30 consolidation. Holders will now hold 1 share of Cellectar Biosciences Inc. (CLRB) for every 30 shares previously held.
2025-06-24,Kraken Energy Corp,UUSA,Merger,,Kraken Energy Corp (UUSA) performed a merger. Holders will receive 0.97037 shares of Aero Energy Limited (AERO) per share previously held.
2025-06-24,VanEck ETF Trust - Green Infrastructure ETF,RNEW,Merger,,VanEck ETF Trust - Green Infrastructure ETF (RNEW) performed a merger. Holders will receive 25.1414948 USD per share held.
2025-06-23,Pegasystems,PEGA,Stock Split,2 for 1,Pegasystems (PEGA) performed a 2 for 1 stock split. Holders will now hold 2 shares of Pegasystems (PEGA) per 1 share previously held.
2025-06-23,TruGolf Inc,TRUG,Consolidation,1 for 50,TruGolf Inc. (TRUG) performed a 1 for 50 consolidation. Holders will now hold 1 share of TruGolf Inc. (TRUG) for every 50 shares previously held.
2025-06-23,KULR Technology Group Inc,KULR,Consolidation,1 for 8,KULR Technology Group Inc (KULR) performed a 1 for 8 consolidation. Holders will now hold 1 share of KULR Technology Group Inc (KULR) for every 8 shares previously held.
2025-06-23,Stem Inc,STEM,Consolidation,1 for 20,Stem Inc (Class A) (STEM) performed a 1 for 20 consolidation. Holders will now hold 1 share of Stem Inc (Class A) (STEM) for every 20 shares previously held.
2025-06-23,OceanaGold Corp,OGC,Consolidation,1 for 3,OceanaGold Corp (OGC) performed a 1 for 3 consolidation. Holders will now hold 1 share of OceanaGold Corp (OGC) for every 3 shares previously held.
2025-06-23,Willow Biosciences Inc,WLLW,Consolidation,1 for 5,Willow Biosciences Inc (WLLW) performed a name change and a 1 for 5 consolidation. Holders will now hold 1 share of Atlas Energy Corp. (ATLE) for every 5 shares previously held.
2025-06-23,Verses A.I. Inc,VERS,Consolidation,1 for 3,Verses A.I. Inc. (VERS) performed a 1 for 3 consolidation. Holders will now hold 1 share of Verses A.I. Inc. (VERS) for every 3 shares previously held.
2025-06-23,Great Eagle Gold Corp,GEGC,Other,1 for 1,Great Eagle Gold Corp (GEGC) performed a 1 for 1 name and CUSIP change to NatBridge Resources Ltd. (NATB).
2025-06-23,GlycoMimetics Inc,GLYC,Other,1 for 1,GlycoMimetics Inc. (GLYC) performed a 1 for 1 name and CUSIP change to Crescent Biopharma Inc. (CBIO).
2025-06-23,Super League Enterprise Inc,SLE,Consolidation,1 for 40,Super League Enterprise Inc. (SLE) performed a 1 for 40 consolidation. Holders will now hold 1 share of Super League Enterprise Inc. (SLE) for every 40 shares previously held.
2025-06-23,ADR MAASE INC. - Highest Performances Holdings Inc,MAAS,Other,1 for 1,ADR MAASE INC. - Highest Performances Holdings Inc. (MAAS) performed a 1 for 1 name and CUSIP change to Highest Perf Holdings Inc. (MAAS).
2025-06-23,GraniteShares ETF Trust - 1X Short Amd Daily ETF,AMDS,Liquidation,,GraniteShares ETF Trust - 1X Short Amd Daily ETF (AMDS) performed a liquidation. Details of the event are still to be determined.
2025-06-23,WisdomTree Battery Value Chain and Innovation Fund,WBAT,Liquidation,,WisdomTree Battery Value Chain and Innovation Fund (WBAT) performed a liquidation. Holders will receive 27.742104 USD cash per share held.
2025-06-23,PHX Minerals Inc,PHX,Merger,,PHX Minerals Inc (Class A) (PHX) performed a merger. Holders will receive 4.35 USD per share.
2025-06-20,22nd Century Group Inc,XXII,Consolidation,1 for 23,22nd Century Group Inc (XXII) performed a 1 for 23 consolidation. Holders will now hold 1 share of 22nd Century Group Inc (XXII) for every 23 shares previously held.
2025-06-20,Unicycive Therapeutics Inc,UNCY,Consolidation,1 for 10,Unicycive Therapeutics Inc (UNCY) performed a 1 for 10 consolidation. Holders will now hold 1 share of Unicycive Therapeutics Inc (UNCY) for every 10 shares previously held.
2025-06-20,Brenmiller Energy Limited,BNRG,Consolidation,1 for 5,Brenmiller Energy Limited (BNRG) performed a 1 for 5 consolidation. Holders will now hold 1 share of Brenmiller Energy Limited (BNRG) for every 5 shares previously held.
2025-06-20,Nexmetals Mining Corp,NEXM,Consolidation,1 for 20,Nexmetals Mining Corp (NEXM) performed a 1 for 20 consolidation. Holders will now hold 1 share of Nexmetals Mining Corp (NEXM) for every 20 shares previously held.
2025-06-20,Green Battery Minerals Inc,GEM,Other,1 for 1,Green Battery Minerals Inc. (GEM) performed a 1 for 1 name and CUSIP change to First Canadian Graphite Inc. (FCI).
2025-06-20,Chenghe Acquisition II Company - 1 Class A Ord Shares & 1/2 Warrants Exp.,CHEB.U,Merger,,Chenghe Acquisition II Company - 1 Class A Ord Shares & 1/2 Warrants Exp. (CHEB.U) performed a merger. Holders will receive 1 share of Polibeli Group LTD and 0.5 warrants of WTS Polibeli Group LTD for each share previously held.
2025-06-20,VanEck HIP Sustainable Muni ETF,SMI,Liquidation,,VanEck HIP Sustainable Muni ETF (SMI) performed a liquidation. Holders will receive 44.57632292 USD per share.
2025-06-20,Two Roads Shared Trust - Foundations Dynamic Core ETF,FDCE,Liquidation,,Two Roads Shared Trust - Foundations Dynamic Core ETF (FDCE) performed a liquidation. Holders will receive 12.6016 USD per share held.
2025-06-20,Two Roads Shared Trust - Fndtns Dynamic Growth ETF,FDGR,Liquidation,,Two Roads Shared Trust - Fndtns Dynamic Growth ETF (FDGR) performed a liquidation. Holders will receive 14.181 USD per share held.
2025-06-20,Two Roads Shared Trust - Fndtns Dynamic Income ETF,FDTB,Liquidation,,Two Roads Shared Trust - Fndtns Dynamic Income ETF (FDTB) performed a liquidation. Holders will receive 9.4595 USD per share held.
2025-06-20,Two Roads Shared Trust - Fndtns Dynamic Value ETF,FDVL,Liquidation,,Two Roads Shared Trust - Fndtns Dynamic Value ETF (FDVL) performed a liquidation. Holders will receive 10.3439 USD per share held.
2025-06-20,Tidal Trust III - Unity Wealth Partners Dynamic Capital Apprec & Options ETF,DCAP,Liquidation,,Tidal Trust III - Unity Wealth Partners Dynamic Capital Apprec & Options ETF (DCAP) performed a liquidation. Details of the event are still to be determined.
2025-06-20,Playa Hotels & Resorts N V,PLYA,Merger,,Playa Hotels & Resorts N V (PLYA) performed a merger. Holders will receive 12.16 USD and 1 share of ESC Playa Hotels & Resorts for each share previously held.
2025-06-19,Calibre Mining Corp,CXB,Merger,,Calibre Mining Corp (CXB) performed a merger. Holders will receive 0.35 new shares of Equinox Gold Corp NEW (EQX) for each share previously held.
2025-06-19,Tony G Co-Investment Holdings Ltd,TONY,Other,1 for 1,Tony G Co-Investment Holdings Ltd (TONY) performed a 1 for 1 name and CUSIP change to HYLQ Strategy Corp. (HYLQ).
2025-06-19,Atico Mining,ATY,Rights Distribution,,"Atico Mining (ATY) performed a rights distribution. Holders will receive 0.4 right per share held as of record date April 16, 2025."
2025-06-18,Interactive Brokers Group Class A,IBKR,Stock Split,4 for 1,Interactive Brokers Group Class A (IBKR) performed a 4 for 1 stock split. Holders will now hold 4 shares of Interactive Brokers Group Class A (IBKR) per 1 share previously held.
2025-06-18,United States Steel Corp,X,Merger,,United States Steel Corp. (X) performed a merger. Holders will receive 55 USD per share previously held.
2025-06-18,Exchange Traded Concepts Trust - Range Global Offshore Oil Services Index ETF,OFOS,Liquidation,,Exchange Traded Concepts Trust - Range Global Offshore Oil Services Index ETF (OFOS) performed a liquidation. Details of the event are still to be determined.
